product_name,purchase_date,review,rating,units_sold,region,product_category,net_profit
Coffee Maker,2023-01-31,Nothing special but acceptable.,2,82,West,Kitchen,3279.65
Laptop Stand,2023-12-30,It's okay.,5,142,South,Accessories,3705.56
Coffee Maker,2022-05-10,Works fine.,3,115,West,Kitchen,5437.99
Robot Vacuum,2023-07-18,Very disappointing.,4,237,West,Home Goods,15297.82
4K Action Camera,2023-02-04,Decent for the price.,4,140,South,Electronics,9703.15
Gaming Chair,2022-12-31,"Loved it, will buy again.",1,70,North,Furniture,5128.45
Smartwatch,2024-09-20,Not worth the price.,3,23,West,Wearables,1204.16
Robot Vacuum,2022-11-10,"Great quality, very satisfied!",3,255,South,Home Goods,12422.85
Smartwatch,2024-06-26,Excellent product!,5,212,East,Wearables,9232.55
4K Action Camera,2020-05-01,Bad experience overall.,1,37,North,Electronics,2930.06
Laptop Stand,2021-04-11,Quality could be better.,4,125,North,Accessories,2440.06
4K Action Camera,2023-05-23,Decent for the price.,4,115,North,Electronics,9049.48
Wireless Mouse,2020-11-26,"Loved it, will buy again.",3,136,West,Accessories,3403.36
Electric Kettle,2024-01-22,Works fine.,2,27,East,Kitchen,1306.38
Electric Kettle,2020-03-28,Amazing performance and value.,5,34,East,Kitchen,1156.45
Electric Kettle,2023-10-28,Amazing performance and value.,2,81,West,Kitchen,3864.94
Electric Kettle,2023-01-28,Excellent product!,2,213,North,Kitchen,10140.98
Gaming Chair,2022-05-21,Excellent product!,3,50,East,Furniture,3160.99
Air Purifier,2024-08-14,"Average product, does the job.",2,232,East,Home Goods,9342.99
Wireless Mouse,2020-05-10,It's okay.,1,78,East,Accessories,801.68
Robot Vacuum,2024-08-12,Excellent product!,1,28,North,Home Goods,1282.05
Coffee Maker,2023-08-25,Not worth the price.,5,36,South,Kitchen,910.7
Gaming Chair,2022-02-08,Stopped working too soon.,1,114,West,Furniture,6864.8
Blender,2020-12-09,Bad experience overall.,1,263,West,Kitchen,8918.98
Laptop Stand,2024-02-24,Bad experience overall.,3,82,West,Accessories,2006.69
Gaming Chair,2023-12-08,Not worth the price.,5,39,East,Furniture,2259.47
4K Action Camera,2022-03-16,"Average product, does the job.",2,147,West,Electronics,16637.47
Coffee Maker,2021-01-20,Stopped working too soon.,5,210,South,Kitchen,5186.47
Laptop Stand,2023-04-30,Stopped working too soon.,4,282,West,Accessories,5859.64
Electric Kettle,2022-08-13,It's okay.,1,133,South,Kitchen,4770.29
Air Purifier,2020-10-03,Excellent product!,1,206,South,Home Goods,9778.87
Wireless Mouse,2023-03-30,Nothing special but acceptable.,4,107,North,Accessories,2164.95
Electric Kettle,2021-04-04,Stopped working too soon.,3,280,South,Kitchen,13081.92
Robot Vacuum,2023-08-30,"Average product, does the job.",5,269,South,Home Goods,12985.1
Blender,2020-01-22,Excellent product!,5,286,West,Kitchen,9517.85
Air Purifier,2020-09-09,Amazing performance and value.,4,144,South,Home Goods,8244.84
Laptop Stand,2022-01-17,"Average product, does the job.",4,242,North,Accessories,5356.98
Electric Kettle,2022-05-06,"Loved it, will buy again.",2,290,North,Kitchen,12260.34
4K Action Camera,2024-05-03,It's okay.,3,98,North,Electronics,5677.57
Blender,2021-04-19,Nothing special but acceptable.,5,91,South,Kitchen,3812.79
Wireless Mouse,2022-12-18,Amazing performance and value.,4,204,West,Accessories,5233.25
Coffee Maker,2021-05-25,"Average product, does the job.",3,221,West,Kitchen,10741.57
Electric Kettle,2024-09-01,Works fine.,2,60,North,Kitchen,2388.17
Robot Vacuum,2024-02-08,It's okay.,2,149,West,Home Goods,8490.78
Coffee Maker,2021-11-30,Amazing performance and value.,3,99,East,Kitchen,3746.99
4K Action Camera,2022-09-02,Nothing special but acceptable.,3,141,East,Electronics,14788.46
Robot Vacuum,2024-12-11,Highly recommend this!,4,142,East,Home Goods,7760.54
Laptop Stand,2020-07-08,Bad experience overall.,4,283,West,Accessories,4770.77
Blender,2022-08-15,Stopped working too soon.,5,236,North,Kitchen,8462.7
Smartwatch,2021-11-17,It's okay.,1,90,South,Wearables,3792.52
Laptop Stand,2022-08-15,"Great quality, very satisfied!",4,267,West,Accessories,5709.75
Robot Vacuum,2021-07-16,It's okay.,2,279,South,Home Goods,15483.39
Electric Kettle,2024-05-09,"Loved it, will buy again.",2,268,East,Kitchen,7314.86
4K Action Camera,2023-06-21,Highly recommend this!,2,69,West,Electronics,6383.95
Electric Kettle,2022-04-11,Decent for the price.,3,29,West,Kitchen,1228.84
Air Purifier,2024-03-08,Nothing special but acceptable.,2,62,North,Home Goods,2409.64
Wireless Mouse,2023-02-28,Nothing special but acceptable.,3,15,North,Accessories,351.44
Air Purifier,2024-02-17,It's okay.,5,77,North,Home Goods,3555.23
Smartwatch,2021-10-08,It's okay.,5,16,South,Wearables,443.86
Robot Vacuum,2020-01-21,Decent for the price.,5,60,East,Home Goods,3833.88
Electric Kettle,2022-04-20,It's okay.,5,291,West,Kitchen,9164.95
Wireless Mouse,2020-06-15,"Average product, does the job.",2,21,North,Accessories,422.71
Wireless Mouse,2023-07-21,Nothing special but acceptable.,4,186,East,Accessories,1875.81
Coffee Maker,2021-01-22,Highly recommend this!,5,153,North,Kitchen,3836.29
Electric Kettle,2021-08-23,Stopped working too soon.,4,295,East,Kitchen,7208.49
Smartwatch,2020-11-11,Not worth the price.,5,251,South,Wearables,8160.4
Wireless Mouse,2020-01-14,"Great quality, very satisfied!",3,184,West,Accessories,3233.96
Coffee Maker,2020-08-29,Quality could be better.,2,284,North,Kitchen,10605.86
Air Purifier,2022-02-15,"Average product, does the job.",5,293,North,Home Goods,13013.53
Electric Kettle,2023-10-01,"Loved it, will buy again.",4,243,West,Kitchen,8762.03
Blender,2021-07-18,Bad experience overall.,1,231,East,Kitchen,10739.39
Electric Kettle,2022-06-16,Works fine.,3,223,North,Kitchen,6734.13
Electric Kettle,2023-09-25,Amazing performance and value.,4,132,West,Kitchen,6413.81
Gaming Chair,2020-04-01,Decent for the price.,5,27,South,Furniture,1964.36
Electric Kettle,2023-10-22,Quality could be better.,5,264,North,Kitchen,9317.98
Laptop Stand,2022-08-13,Stopped working too soon.,4,237,West,Accessories,4745.58
4K Action Camera,2024-01-18,Nothing special but acceptable.,5,268,West,Electronics,22334.15
Air Purifier,2023-12-22,Not worth the price.,5,132,West,Home Goods,7434.74
Smartwatch,2021-05-23,Works fine.,4,224,North,Wearables,11330.69
Wireless Mouse,2022-02-14,Highly recommend this!,4,176,North,Accessories,3963.06
4K Action Camera,2020-02-04,Very disappointing.,2,251,North,Electronics,26705.7
4K Action Camera,2020-07-24,Very disappointing.,1,49,South,Electronics,3053.65
Coffee Maker,2023-01-09,Works fine.,4,33,West,Kitchen,793.63
Smartwatch,2024-05-04,Works fine.,4,108,West,Wearables,6080.28
Robot Vacuum,2023-11-12,Nothing special but acceptable.,2,298,West,Home Goods,13560.34
Robot Vacuum,2022-10-22,Amazing performance and value.,5,29,North,Home Goods,1197.88
Smartwatch,2022-10-18,Nothing special but acceptable.,1,230,West,Wearables,7999.09
Gaming Chair,2023-11-14,"Average product, does the job.",3,74,South,Furniture,4727.62
Smartwatch,2021-07-19,Works fine.,4,123,North,Wearables,4581.91
Wireless Mouse,2023-02-03,"Great quality, very satisfied!",1,133,North,Accessories,3151.53
Smartwatch,2024-11-30,Stopped working too soon.,3,281,North,Wearables,15762.72
Gaming Chair,2024-02-09,Nothing special but acceptable.,1,34,South,Furniture,1935.29
Gaming Chair,2021-12-03,Quality could be better.,2,10,East,Furniture,538.05
Blender,2021-02-05,Not worth the price.,3,197,North,Kitchen,6919.52
Electric Kettle,2021-12-30,Decent for the price.,3,280,East,Kitchen,11245.72
Gaming Chair,2024-04-28,Amazing performance and value.,1,94,West,Furniture,9257.36
Gaming Chair,2020-06-10,Decent for the price.,4,274,South,Furniture,11902.66
Wireless Mouse,2020-07-20,"Average product, does the job.",3,26,North,Accessories,296.15
Gaming Chair,2022-09-22,"Great quality, very satisfied!",4,134,West,Furniture,5646.14
Coffee Maker,2020-09-26,Bad experience overall.,2,287,North,Kitchen,6127.43
Blender,2022-03-26,"Great quality, very satisfied!",2,291,West,Kitchen,9465.07
Coffee Maker,2023-07-18,Not worth the price.,3,34,East,Kitchen,1031.83
Air Purifier,2021-03-31,Stopped working too soon.,4,167,West,Home Goods,6213.61
Laptop Stand,2024-01-25,Excellent product!,2,148,East,Accessories,4308.8
Blender,2024-10-16,Excellent product!,2,96,South,Kitchen,3803.51
Electric Kettle,2023-06-29,"Loved it, will buy again.",1,94,East,Kitchen,3260.5
Robot Vacuum,2022-10-13,Decent for the price.,1,183,North,Home Goods,6497.0
Laptop Stand,2024-09-21,Amazing performance and value.,3,182,West,Accessories,3039.49
Electric Kettle,2020-10-22,Works fine.,1,204,South,Kitchen,4344.63
Laptop Stand,2024-10-14,"Great quality, very satisfied!",3,12,West,Accessories,161.27
Smartwatch,2021-12-20,Excellent product!,5,203,West,Wearables,7105.61
Smartwatch,2024-11-07,Nothing special but acceptable.,1,288,East,Wearables,12646.9
Laptop Stand,2020-12-03,"Average product, does the job.",5,17,East,Accessories,239.45
Electric Kettle,2022-05-28,Very disappointing.,1,204,West,Kitchen,4306.89
Smartwatch,2022-12-12,Not worth the price.,1,141,North,Wearables,6999.83
Wireless Mouse,2022-03-02,It's okay.,3,147,North,Accessories,2502.31
Blender,2020-08-04,It's okay.,5,172,North,Kitchen,4210.44
Smartwatch,2022-02-02,Not worth the price.,1,224,South,Wearables,11940.61
Robot Vacuum,2020-07-06,Very disappointing.,4,68,East,Home Goods,4607.6
Robot Vacuum,2021-01-14,It's okay.,4,34,East,Home Goods,2084.92
Air Purifier,2021-05-07,Not worth the price.,1,263,East,Home Goods,11356.01
Robot Vacuum,2022-11-30,"Loved it, will buy again.",1,271,East,Home Goods,18342.8
Coffee Maker,2023-03-26,"Loved it, will buy again.",1,261,North,Kitchen,8953.37
Laptop Stand,2020-01-15,Works fine.,5,266,South,Accessories,7322.68
Laptop Stand,2020-03-05,"Loved it, will buy again.",3,118,North,Accessories,3039.68
Laptop Stand,2021-06-04,"Loved it, will buy again.",5,150,West,Accessories,2268.66
Blender,2023-09-29,Works fine.,4,237,North,Kitchen,9870.84
Coffee Maker,2023-02-26,"Average product, does the job.",3,285,North,Kitchen,8246.71
Air Purifier,2021-10-09,Nothing special but acceptable.,1,16,West,Home Goods,552.66
Electric Kettle,2024-02-04,"Loved it, will buy again.",3,207,South,Kitchen,6960.32
Gaming Chair,2022-12-22,Very disappointing.,3,285,North,Furniture,25330.64
Smartwatch,2023-03-08,Excellent product!,4,80,South,Wearables,4347.26
Blender,2024-03-02,Highly recommend this!,2,267,North,Kitchen,9406.85
Gaming Chair,2021-08-15,Not worth the price.,1,187,West,Furniture,18692.23
Gaming Chair,2021-01-26,"Loved it, will buy again.",5,190,North,Furniture,15263.19
Wireless Mouse,2024-08-25,It's okay.,5,284,East,Accessories,7043.42
Wireless Mouse,2021-02-22,"Loved it, will buy again.",3,36,North,Accessories,730.37
Electric Kettle,2020-10-15,It's okay.,4,87,West,Kitchen,2420.6
Blender,2021-01-13,Works fine.,5,141,West,Kitchen,4512.59
Laptop Stand,2024-12-01,It's okay.,4,297,West,Accessories,3137.41
Gaming Chair,2024-02-22,Amazing performance and value.,3,283,East,Furniture,12760.15
Gaming Chair,2020-08-18,"Average product, does the job.",1,142,East,Furniture,11189.68
Smartwatch,2022-10-14,Amazing performance and value.,3,295,North,Wearables,8038.41
Air Purifier,2020-02-10,Not worth the price.,4,215,West,Home Goods,9370.09
Blender,2022-11-17,Very disappointing.,4,235,South,Kitchen,8329.59
Smartwatch,2020-05-14,Decent for the price.,4,95,North,Wearables,5463.82
Coffee Maker,2020-07-19,Excellent product!,4,106,East,Kitchen,3427.77
Electric Kettle,2022-02-18,"Great quality, very satisfied!",5,135,East,Kitchen,4576.75
Wireless Mouse,2022-07-18,Excellent product!,2,247,East,Accessories,5195.26
Air Purifier,2022-11-22,Nothing special but acceptable.,3,104,South,Home Goods,3915.75
Laptop Stand,2022-12-07,Nothing special but acceptable.,2,184,East,Accessories,3492.99
Coffee Maker,2021-05-17,Bad experience overall.,3,117,South,Kitchen,2610.12
Air Purifier,2021-02-10,Highly recommend this!,1,217,West,Home Goods,7652.52
Smartwatch,2024-05-16,Decent for the price.,3,248,East,Wearables,13766.73
Coffee Maker,2024-10-17,Bad experience overall.,4,158,East,Kitchen,7626.75
Robot Vacuum,2022-03-15,Not worth the price.,2,248,West,Home Goods,8081.8
Air Purifier,2020-04-08,Excellent product!,1,216,North,Home Goods,9953.69
4K Action Camera,2021-11-14,Excellent product!,3,66,East,Electronics,7372.23
Electric Kettle,2021-12-26,Stopped working too soon.,5,223,West,Kitchen,7302.22
4K Action Camera,2024-04-19,Decent for the price.,3,295,North,Electronics,23086.76
Gaming Chair,2022-08-18,Not worth the price.,5,181,South,Furniture,15468.69
Blender,2024-10-28,Stopped working too soon.,2,125,North,Kitchen,3811.74
Smartwatch,2021-09-04,"Loved it, will buy again.",4,165,North,Wearables,7392.21
Blender,2024-01-25,Bad experience overall.,4,156,East,Kitchen,3228.67
Laptop Stand,2021-10-04,Nothing special but acceptable.,2,222,East,Accessories,5733.39
Air Purifier,2024-11-27,"Great quality, very satisfied!",1,191,South,Home Goods,7742.17
Wireless Mouse,2022-10-25,Not worth the price.,2,108,North,Accessories,1877.65
Wireless Mouse,2023-05-26,"Loved it, will buy again.",4,149,North,Accessories,3254.81
Robot Vacuum,2021-05-17,"Loved it, will buy again.",4,282,East,Home Goods,15130.89
4K Action Camera,2022-02-05,"Average product, does the job.",5,50,West,Electronics,4122.12
